JDAY,TDG_TDG,SUM_QGT2,QGT- 1,QGT- 2,QGT- 3,QGT- 4,QGT- 5,QGT- 6,QGT- 7,QGT- 8,QGT- 9,QGT-10,QGT-11,QGT-12,QGT-13,QGT-14,QGT-15,QGT-16,QGT-17,QGT-18,QGT-19,QGT-20,
  40569.000,  ,    110.921,  *********,   7967.965,   16.360,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   10.977,    0.000,
  40570.000,  ,    111.037,  *********,   7181.292,   14.451,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    3.202,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    6.420,    0.000,
  40571.000,  ,    111.045,  *********,   6149.247,   12.777,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    8.347,    0.000,
  40572.000,  ,    111.347,  *********,   7711.931,   22.131,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    5.483,    0.000,
  40573.000,  ,    110.601,  *********,   7333.621,   17.535,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    9.689,    0.000,
  40574.000,  ,    110.625,  *********,   6556.792,   14.880,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    8.592,    0.000,
  40575.000,  ,    110.423,  *********,   5476.950,   12.753,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    6.628,    0.000,
  40576.000,  ,    110.035,  *********,   6104.051,   13.676,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    7.510,    0.000,
  40577.000,  ,    110.103,  *********,   6816.983,   15.543,    0.000,    0.000,    0.000,    0.000,    0.127,    0.000,    0.000,    0.000,    0.000,    0.178,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    9.235,    0.000,
  40578.000,  ,    109.975,  *********,   5896.158,   12.700,    0.000,    0.000,    0.000,    0.000,    0.460,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    6.915,    0.000,
  40579.000,  ,    109.688,  *********,   6254.747,   12.890,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    7.336,    0.000,
  40580.000,  ,    109.924,  *********,   6282.644,   20.724,    0.000,    0.000,    0.000,    0.000,    0.063,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    7.678,    0.000,
  40581.000,  ,    110.033,  *********,   5133.665,   22.805,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    5.730,    0.000,
  40582.000,  ,    110.609,  *********,   4653.744,   20.724,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    4.817,    0.000,
  40583.000,  ,    110.203,  *********,   4548.048,    0.000,    0.000,    0.000,    0.000,    0.000,    1.020,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   10.291,    0.000,
  40584.000,  ,    110.071,  *********,   5718.926,   20.912,    6.521,    6.588,    6.521,    3.652,    0.318,    3.592,    3.436,    3.664,    3.709,    0.810,    3.616,    3.830,    4.177,    6.557,    6.477,    6.570,   12.626,    0.000,
  40585.000,  ,    111.051,  *********,   6110.398,   13.878,   27.000,   27.255,   27.029,   15.074,    0.000,   15.086,   14.233,   14.979,   15.179,    6.474,   14.805,   15.672,   17.525,   27.132,   26.998,   27.150,   27.825,    0.000,
  40586.000,  ,    111.126,  *********,   5606.292,   14.826,   24.103,   24.284,   24.105,   16.760,    0.000,   14.149,   12.831,   20.226,   15.617,   12.102,   12.936,   13.895,   15.657,   18.622,   27.327,   24.204,   24.251,    0.000,
  40587.000,  ,    110.212,  *********,   6276.388,   17.427,   16.929,    9.397,   15.523,   16.599,    0.000,    2.103,    5.640,    3.441,   14.962,    1.670,   12.968,    2.050,   14.238,    2.366,   16.423,   17.089,   13.454,    0.000,
  40588.000,  ,    109.922,  *********,   6634.503,   13.619,    7.524,    0.000,    0.198,    0.233,    0.000,    0.000,    0.000,    0.000,    0.209,    0.000,    0.180,    0.000,    0.261,    0.000,    7.568,    7.293,   10.479,    0.000,
  40589.000,  ,    110.588,  *********,   4920.800,    8.883,   14.180,    6.791,    6.554,    7.918,    0.000,    0.000,    5.428,    0.000,    6.818,    0.000,    5.566,    0.000,    6.598,    0.000,   10.861,   14.103,    8.990,    0.000,
  40590.000,  ,    110.725,  *********,   5128.308,   11.110,   10.237,   10.759,   10.474,   10.637,    0.000,    3.863,    7.576,    3.859,    9.416,    1.838,    9.305,    3.184,    9.102,    3.817,   11.997,   14.042,   10.020,    0.000,
  40591.000,  ,    114.789,  *********,   6100.804,   13.679,   98.040,   96.410,   89.934,   76.701,    0.000,   76.172,   70.972,   71.527,   70.095,   70.488,   75.433,   76.993,   76.111,   86.777,   99.513,   99.439,   90.113,    0.000,
